"THE LOCAL CO-OP","0","chargeSlip"
"123 4th St.","1","chargeSlip"
"Schenectady, NY 12345","2","chargeSlip"
"FOR DEPOSIT ONLY","0","ckEndorse"
"TO THE BANK","1","ckEndorse"
"ACCOUNT #999999999","2","ckEndorse"
"THE LOCAL CO-OP","3","ckEndorse"
"Thanks for shopping at the co-op","0","farewellMsg"
"Returns accepted with receipt within 30 days","1","farewellMsg"
"(555) 867-5309","2","farewellMsg"
"your co-op since 1776","0","receiptFooter"
"Current LOCAL Purchase by your Co-op = 11.5%","1","receiptFooter"
"www.the.coop/local","2","receiptFooter"
"WfcLogo2014.bmp","0","receiptHeader"
"(555) 876-5309","1","receiptHeader"
"www.the.coop","2","receiptHeader"
"welcome to the frontend","0","trainingMsg"
"training mode is on","1","trainingMsg"
"welcome to the co-op","0","welcomeMsg"
"member owned since 1776","1","welcomeMsg"
