0000000000016,This is a test item,,,5.95,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,59,0,0,1,1,0,0,0000-00-00 00:00:00,1,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0000-00-00 00:00:00,2
0000000000052,RRR,,,-1,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,610,0,0,1,0,0,0,0000-00-00 00:00:00,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,3
0000000000111,WYNDMERE 5-8 DRAM BOTTLE,,,1.65,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,103,0,1,0,0,0,499,0000-00-00 00:00:00,1,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0000-00-00 00:00:00,4
0000000000123,BCOFFEE MYSTERY FOR DDD,,,12.85,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,251,0,0,1,0,0,0,0000-00-00 00:00:00,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0000-00-00 00:00:00,13007
0000000000200,10% OFF COUPON,,,2,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,604,0,0,0,0,0,0,0000-00-00 00:00:00,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,9
0000000000211,BCEREAL MULTIGRAIN FLAKES ORG,,,4.15,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,3,0,0,1,1,0,0,0000-00-00 00:00:00,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,13078
0000000000215,BGRANOLA STRAWBERRY VAN HEMP,,,3.95,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,3,0,0,1,1,0,0,0000-00-00 00:00:00,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,13080
0000000000219,BRICE BLACK FORBIDDEN,,,3.65,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,11,0,0,1,1,0,0,0000-00-00 00:00:00,0,0,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,15661
0000000000225,BSALT BLACK,,,14.49,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,257,0,0,1,1,0,499,0000-00-00 00:00:00,1,0,1,0,1,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,14594
0000000000230,BBROTH CHICKEN FLAVOR NON-O,,,14.39,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,0000-00-00 00:00:00,257,0,0,1,1,0,0,0000-00-00 00:00:00,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0000-00-00 00:00:00,15325
